Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit
2000,7.6,6.5,8.8
2001,9.2,8.1,10.4
2002,8.6,7.7,9.5
2003,10.9,10.0,11.9
2004,9.5,8.8,10.4
2005,9.6,8.8,10.5
2006,10.6,9.8,11.5
2007,10.9,10.2,11.6
2008,10.9,10.0,11.7
2009,10.8,10.2,11.5
2010,11.7,10.8,12.6
2011,11.6,10.9,12.4
2012,11.7,10.9,12.6
2013,12.0,11.1,13.0
2014,11.9,10.8,13.1
2015,13.6,12.5,14.7
2016,12.4,11.4,13.5
2017,12.9,11.8,14.0
2018,12.9,12.0,13.9
2019,13.2,12.3,14.2
2020,13.1,12.1,14.1
2021,13.7,12.5,15.0
2022,13.7,12.4,15.0
