Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit
2000,7.0,6.0,8.1
2001,7.6,6.6,8.8
2002,8.4,7.4,9.5
2003,9.2,8.0,10.6
2004,8.2,7.2,9.2
2005,8.8,7.9,9.8
2006,10.3,9.3,11.5
2007,11.5,10.2,13.0
2008,10.0,9.0,11.0
2009,9.8,8.8,10.9
2010,10.6,9.6,11.6
2011,10.3,9.1,11.7
2012,10.9,10.1,11.8
2013,11.1,10.1,12.3
2014,11.7,10.7,12.8
2015,11.4,10.4,12.5
2016,11.2,10.3,12.1
2017,11.7,10.7,12.7
2018,12.2,11.1,13.3
2019,12.1,11.2,13.0
2020,12.5,11.4,13.8
2021,12.2,11.2,13.3
2022,13.0,12.0,14.1
