Year,Total - Percentage,Total - Lower Limit,Total - Upper Limit
2000,7.0,6.1,8.1
2001,8.0,7.1,9.1
2002,9.3,8.4,10.3
2003,8.9,7.9,9.9
2004,10.0,9.0,11.1
2005,9.6,8.6,10.6
2006,10.8,9.8,11.9
2007,9.8,8.9,10.7
2008,10.8,9.9,11.9
2009,11.1,10.1,12.1
2010,10.4,9.5,11.3
2011,10.6,9.8,11.5
2012,11.1,10.3,12.0
2013,11.2,10.4,12.0
2014,12.0,11.2,12.9
2015,12.5,11.6,13.4
2016,12.7,11.9,13.5
2017,12.8,11.9,13.7
2018,13.4,12.5,14.5
2019,13.0,12.0,14.1
2020,13.1,12.2,14.1
2021,13.1,12.2,14.1
2022,14.4,13.4,15.5
